X,Y,FID,objectid,type,feature_gp,feature_id,asset_id,site_code,site_name,plot_no,location,prim_meas,unit,xy_accurac,sym_code,sym_rot,modified,sculpture,artist,installed,photo_link,label,GlobalID
174.7758477,-41.29537479,105,0,P-Mon.&Memorial-Plaque,PMME, ,1435924,P0516,Cobblestone Park,7000289,Plaque located along the Southern edge of the park. Near the bottom of the steps.,1,No., ,0,0,, , , , , ,{39E02443-EB88-4CF3-89D0-89D84670D7EB}
174.7766839,-41.26258293,106,0,P-Mon.&Memorial-Plaque,PMME, ,1300445,P0471,Philip Myers Park,7000122,Bronze plaque set in concrete in front of seats. Donated by the Wadestown Highland Park and Wilton Hort. Society to mark its 75th Anniversary 1993 and in memory of Stan and Jean Reid.  Seats are in front of the shrub border  in front of the library,1,No., ,0,0,, , , , , ,{9B1B336E-3368-4049-982A-33352AA8B20B}
174.7757896,-41.28741598,107,0,P-Sculpture,PSCU, ,1434476,R0322,Chews Lane,7000100,Shangri-La (2011) - Chews Lane Binoculars. Details in attributes.,1,No., ,0,0,, , , , , ,{CEFB3EA4-3457-440A-B8F4-6F26FF196629}
174.7781593,-41.28850788,108,0,P-Sculpture,PSCU, ,1434386,P1019,Civic Centre Complex,7000255,"Rugby World Cup Sculpture (2011) -  Sculpture, cast in concrete of rugby players reaching for golden ball. Sculpture symbolises Wellington's geographical position, where the Tasman Sea & Pacific Ocean meet in Cook Strait.",1,No., ,0,0,, , , , , ,{5FB91412-911C-4310-826D-9961E14B6391}
174.8014799,-41.30265104,109,0,P-Mon.&Memorial-Plaque,PMME, ,1331589,P1777,Treasure Island / Kainui Reserve,7000152,Bronze plaque located on boulder above the play area.,1,No., ,0,0,, , , , , ,{D96E860F-05A1-4887-A0B8-3AF09E46A2F7}
174.7640161,-41.27670936,110,0,P-Mon.&Memorial-Memorial,PMME, ,1402143,P0513,Stellin Memorial Park,7000140,Memorial on the lookout Stellin Memorial Park.,1,No., ,0,0,, , , , , ,{4700B5B8-508A-4A6E-9B0A-9E16CDEB21DB}
174.7002639,-41.27603269,111,0,P-Mon.&Memorial-Other,PMME,70440528,P008407000110.0,P0084,Makara Cemetery,7000110,"Memorial on rock to victims of the Nazi holocaust, near the Orthodox Jewish chapel.""Lest we forget, This stone is dedicated to the memory of the six million jewish men,women and children who perished in the holocaust. 1938 - 1945.""",1,No., ,0,0,, , , , , ,{9154FA28-64CF-4BEF-826D-1C6CED07C132}
174.7026277,-41.27303711,112,0,P-Mon.&Memorial-Other,PMME, ,1435500,P0084,Makara Cemetery,7000675,Red Maori carved archway at the entrance to the Nga Iwi o te Motu area.,1,No., ,0,0,, , , , , ,{57D46056-4433-49CF-8C93-884851F5DB0C}
174.8213071,-41.34301607,113,0,P-Mon.&Memorial-Memorial,PMME, ,P020707000366,P0722,Tarakena Bay and Palmer Head,7000112,"Wahine Memorial Park stone with brass plaque and beside it a propellar off the Wahine.Plaque ""Wahine Memorial Park""",1,No., ,0,0,, , , , , ,{E7535E4C-9F30-4F1A-95CB-BDFD91614476}
174.7748285,-41.29336637,114,0,P-Sculpture, , ,1436199,P0515,Glover Park,7000188,"Title/Year: Everything is for the best, in this best of all possible worlds (2012).  Artist: Shane McGrath. Consists of metal legs with wooden top & copper domes.",1, , ,0,0,2012-03-28T00:00:00.000Z, ,Shane McGrath,2012, , ,{61406230-8CAE-427F-A780-B837A8EA6F31}
